"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 02:42:54 ART 2022","Tue Jun 28 02:42:56 ART 2022","1359","","Edit admin page interactions","","Edit admin page interactions","wrong data inputs","wrong data inputs",""
"passed","Tue Jun 28 02:42:49 ART 2022","Tue Jun 28 02:42:50 ART 2022","1267","","Home page interactions","","Home page interactions","Delete an admin","Delete an admin",""
"passed","Sun Jun 26 01:40:04 ART 2022","Sun Jun 26 01:40:06 ART 2022","1369","","Home page interactions","","Home page interactions","Admin main page and form should be deployed","Admin main page and form should be deployed",""
"failed","Tue Jun 28 02:38:43 ART 2022","Tue Jun 28 02:38:47 ART 2022","4576","","Edit Super Admin page interactions","","Edit Super Admin page interactions","wrong data inputs","wrong data inputs",""
"failed","Tue Jun 28 02:38:16 ART 2022","Tue Jun 28 02:38:20 ART 2022","4549","","Edit Super Admin page interactions","","Edit Super Admin page interactions","Elements displayed","Elements displayed",""
"failed","Sun Jun 26 04:54:04 ART 2022","Sun Jun 26 04:54:14 ART 2022","10577","","Home page interactions","","Home page interactions","Edit an admin failed","Edit an admin failed",""
"passed","Mon Jun 27 19:48:36 ART 2022","Mon Jun 27 19:48:37 ART 2022","653","","Edit admin page interactions","","Edit admin page interactions","Edit with success First Name","Edit with success First Name",""
"passed","Sun Jun 26 00:57:32 ART 2022","Sun Jun 26 00:57:38 ART 2022","5731","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Jun 28 00:29:26 ART 2022","Tue Jun 28 00:29:27 ART 2022","702","","Edit admin page interactions","","Edit admin page interactions","success Last Name","success Last Name",""
"passed","Tue Jun 28 02:42:51 ART 2022","Tue Jun 28 02:42:54 ART 2022","3088","","Edit admin page interactions","","Edit admin page interactions","Edit an admin success","Edit an admin success",""
"passed","Tue Jun 28 02:43:11 ART 2022","Tue Jun 28 02:43:12 ART 2022","324","","Header/footer/asside on form page","","Header/footer/asside on form page","Header on form page","Header on form page",""
"passed","Tue Jun 28 02:43:12 ART 2022","Tue Jun 28 02:43:14 ART 2022","1068","","Header/footer/asside on form page","","Header/footer/asside on form page","Aside on form page","Aside on form page",""
"passed","Mon Jun 27 20:08:53 ART 2022","Mon Jun 27 20:08:54 ART 2022","722","","Edit/add admin page interactions","","Edit/add admin page interactions","success password","success password",""
"passed","Mon Jun 27 19:48:35 ART 2022","Mon Jun 27 19:48:36 ART 2022","884","","Edit admin page interactions","","Edit admin page interactions","Edit with wrong data inputs","Edit with wrong data inputs",""
"passed","Tue Jun 28 02:43:08 ART 2022","Tue Jun 28 02:43:08 ART 2022","222","","Header/footer/asside on list page","","Header/footer/asside on list page","Header on list page","Header on list page",""
"failed","Mon Jun 27 20:09:20 ART 2022","Mon Jun 27 20:09:33 ART 2022","13032","","Edit/add admin page interactions","","Edit/add admin page interactions","Add an admin success","Add an admin success",""
"passed","Tue Jun 28 00:29:28 ART 2022","Tue Jun 28 00:29:29 ART 2022","756","","Edit admin page interactions","","Edit admin page interactions","success password","success password",""
"failed","Tue Jun 28 02:38:48 ART 2022","Tue Jun 28 02:38:48 ART 2022","159","","Edit Super Admin page interactions","","Edit Super Admin page interactions","Just success Email","Just success Email",""
"passed","Tue Jun 28 02:42:57 ART 2022","Tue Jun 28 02:42:58 ART 2022","840","","Edit admin page interactions","","Edit admin page interactions","Just success Last Name","Just success Last Name",""
"failed","Tue Jun 28 02:38:47 ART 2022","Tue Jun 28 02:38:48 ART 2022","257","","Edit Super Admin page interactions","","Edit Super Admin page interactions","Just success First Name","Just success First Name",""
"passed","Mon Jun 27 20:08:50 ART 2022","Mon Jun 27 20:08:51 ART 2022","1182","","Edit/add admin page interactions","","Edit/add admin page interactions","wrong data inputs","wrong data inputs",""
"passed","Mon Jun 27 19:48:37 ART 2022","Mon Jun 27 19:48:37 ART 2022","638","","Edit admin page interactions","","Edit admin page interactions","Edit with success Last Name","Edit with success Last Name",""
"failed","Tue Jun 28 02:38:48 ART 2022","Tue Jun 28 02:38:48 ART 2022","126","","Edit Super Admin page interactions","","Edit Super Admin page interactions","Just success Last Name","Just success Last Name",""
"passed","Tue Jun 28 02:43:05 ART 2022","Tue Jun 28 02:43:08 ART 2022","2922","","Add admin page interactions","","Add admin page interactions","Add an admin success","Add an admin success",""
"failed","Tue Jun 28 02:38:54 ART 2022","Tue Jun 28 02:38:54 ART 2022","297","","Add superAdmin page interactions","","Add superAdmin page interactions","Inputs enables","Inputs enables",""
"passed","Tue Jun 28 02:43:00 ART 2022","Tue Jun 28 02:43:01 ART 2022","665","","Edit admin page interactions","","Edit admin page interactions","Long failed password","Long failed password",""
"passed","Sun Jun 26 04:42:20 ART 2022","Sun Jun 26 04:42:22 ART 2022","2040","","Home page interactions","","Home page interactions","Edit an admin","Edit an admin",""
"passed","Tue Jun 28 02:43:01 ART 2022","Tue Jun 28 02:43:01 ART 2022","744","","Edit admin page interactions","","Edit admin page interactions","Failed password","Failed password",""
"passed","Tue Jun 28 02:43:12 ART 2022","Tue Jun 28 02:43:12 ART 2022","915","","Header/footer/asside on form page","","Header/footer/asside on form page","Footer on form page","Footer on form page",""
"passed","Tue Jun 28 00:29:30 ART 2022","Tue Jun 28 00:29:30 ART 2022","817","","Edit admin page interactions","","Edit admin page interactions","failed password","failed password",""
